,id,ini_timestamp,feat_orig_pkts_mean,feat_resp_pkts_mean,feat_orig_bytes_mean,feat_resp_bytes_mean,feat_mean_duration,feat_conn_state_dns_ratio,feat_conn_state_http_ratio,feat_conn_state_ssl_ratio,feat_conn_state_dhcp_ratio,feat_conn_state_unk_ratio,feat_conn_state_irc_ratio,feat_method_dns_ratio,feat_method_http_ratio,feat_method_ssl_ratio,feat_method_dhcp_ratio,feat_method_unk_ratio,feat_method_irc_ratio,feat_proto_tcp_ratio,feat_proto_udp_ratio,feat_proto_icmp_ratio,feat_private_conn_ratio,label,detailed_label
688,192.168.1.132,2018-10-25 12:20:37.400158976,1.0,1.0,76.0,76.0,0.270332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
277,192.168.1.195,2019-09-20 17:40:41.665906944,2.0,2.0,152.0,152.0,0.007746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
744,192.168.1.132,2018-10-25 17:08:37.400158976,1.0,1.0,76.0,76.0,0.016972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
317,192.168.1.195,2019-09-20 20:14:41.665906944,2.0,2.0,152.0,152.0,0.0053705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,Bening,Benign
427,192.168.1.200,2019-02-28 19:27:33.981529856,3.9863352976342985,0.0030745580322828594,239.14732257238023,0.16124348791527884,1.5815346302843967,0.0,0.0,0.0,8.540438978563499e-05,8.540438978563499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999316764881715,0.0006832351182850799,0.0,11709,Malicious,PartOfAHorizontalPortScan
659,192.168.1.200,2019-03-01 03:11:33.981529856,4.026128890837352,0.003156510302498904,241.58456817185444,0.1515124945199474,1.5797990320035074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9994739149495835,0.000526085050416484,0.0,11405,Malicious,PartOfAHorizontalPortScan
734,192.168.1.132,2018-10-25 16:08:37.400158976,1.0,1.0,76.0,76.0,0.272087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
579,192.168.1.200,2019-03-01 00:31:33.981529856,4.001367872103958,0.0056424724288279045,240.10771992818673,0.25698897153116185,1.5632872272377534,0.0,8.54920064973925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997435239805078,0.00025647601949217746,0.0,11697,Malicious,PartOfAHorizontalPortScan
932,192.168.2.3,2018-09-21 11:58:22.965529856,3.3636363636363638,2.8181818181818183,256.90909090909093,348.09090909090907,27.341551818181816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.5454545454545454,0.09090909090909091,11,Bening,Benign
369,192.168.1.195,2019-09-20 23:26:41.665906944,2.0,2.0,152.0,152.0,0.005499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Bening,Benign
